ResponseId,positive,neutral,negative,unknown,total
R_WBu20dqHAeaWxXj,5,1,2,0,8
R_3Oi6m97IC2xGtDb,2,5,2,0,9
R_2uColiYFU3PoDBx,9,1,0,0,10
R_30iATwGG1QJW3bE,2,5,1,0,8
R_x6sInRztaX3chMt,4,1,4,0,9
R_2pXpOVmP3NCenyw,4,3,1,0,8
R_2dFpUFjtj5cSjJf,7,0,0,0,7
R_W0TVf79PbN6ooX7,7,2,0,0,9
R_TpD7tD2p3RnYX5v,5,3,0,0,8
R_2BfU09A5cXr6Ryo,8,1,0,0,9
R_2EmkGSWdkfO3dyH,2,6,0,0,8
R_11iRNWHCGgAioQj,3,4,1,0,8
R_28J2WCDhoIiWp1w,7,1,0,0,8
R_bduCfrJsDxGa5H3,4,6,0,0,10
R_2tmMEghGxTXYBp6,6,4,0,0,10
R_2ZNVuNUwIdf9k9V,6,2,1,0,9
R_3I5M2nEmldfHZdP,2,2,4,0,8
R_3Grzu0dTS7kHXfx,8,2,0,0,10
R_3KpCSYn6ZMmxcR0,6,3,0,0,9
R_302WduzJtrMgBsw,7,3,0,0,10
R_3Ems9viDfhd9V9m,6,1,3,0,10
R_27TmMmGbFpR1My5,5,4,1,0,10
R_3nrvSbXSVBCQZtQ,6,1,0,0,7
R_cBF6NIQ84XzkdFv,6,1,0,0,7
R_129HZSD1fsqaMA6,5,2,0,0,7
R_3KUveHJKdj0VPik,5,4,0,0,9
R_9tvgCPCdtlbYTnj,8,0,0,0,8
R_3nSCe4oRO1nQx5Y,7,2,0,0,9
R_xE4vB1roMgZhyj7,5,4,1,0,10
R_3h6LCHvh0rW4nJn,2,5,1,0,8
R_27wXCX4UVnnL6iJ,7,3,0,0,10
R_1re5rC6fR2gYOJ6,6,0,1,0,7
R_2BfUgHmRs7PVVSq,5,2,1,0,8
R_1C9ltzLyp6aQzzw,8,0,1,0,9
R_3dDE02ELySXPIRb,5,5,0,0,10
R_XAKVWZzNQ1XQOWJ,7,3,0,0,10
R_1lAZs11u2F2hBB3,5,2,0,0,7
R_1dpkoKral19EiUZ,6,4,0,0,10
R_1FhAA0Dji9fXz1D,5,2,0,0,7
R_u9T9g4O7Dt81TXP,6,4,0,0,10
R_1QKJjUTx6qIgZec,7,1,2,0,10
R_2Yr008A7s67PNFa,1,1,6,0,8
R_1g6gVZvnPDeGWpb,3,2,0,0,5
R_7P5P0QM2hmVcOVH,4,1,0,0,5
R_2Tmx1u5GNnHbmSM,2,3,4,0,9
R_2cA9rN0D14y7CbY,6,3,0,0,9
R_33qmvyy7CjCh9dm,6,3,0,0,9
R_u4EzwI9zfvWe1k5,4,2,0,0,6
R_2qkosttOCOD8SOx,5,2,0,0,7
R_12P75A6dsGITwtr,3,3,4,0,10
R_2SHzEK606X9xmrB,5,4,1,0,10
R_2aQ5Js5qqqqIdZ3,8,2,0,0,10
R_1DZqWjCwkDSc8kY,5,6,0,0,11
R_XtgwtzTv1rG82Up,6,3,0,0,9
R_3oMg9Ex4XkwdKgl,4,5,0,0,9
R_1r84nAdJzgipTqV,2,5,0,0,7
R_3oztcb92gaOJnOX,4,6,0,0,10
R_2e2SPoiEb4LQ5WV,5,2,0,0,7
R_1erWpKMBO9mWd6Q,6,4,0,0,10
R_2fe9MDF2qguTkeh,4,2,2,0,8
R_3QYQlXHhula8xgn,3,3,0,0,6
R_2taQgk6NQyjwmAu,5,3,2,0,10
R_1dHtcKfSXaFtw4M,2,2,5,0,9
R_2QrLOVv6gUptnXT,1,2,5,0,8
R_2TC7HPiiJsssC7E,2,5,1,0,8
R_20SEZVcVFt6Qx80,7,1,0,0,8
R_3fDkk1NPgEz1oI7,5,5,0,0,10
R_30clNa9XQARuqrH,6,4,0,0,10
R_2347YBTpzEyT0ZE,6,3,0,0,9
R_AMvOydIYxQ1tXaN,5,4,1,0,10
R_DGCPhQuWy8AwZbj,5,2,0,0,7
R_2q3MbbJZW55k4wx,3,4,3,0,10
R_1K44ngRIQXzqLN4,8,2,0,0,10
R_umklR8VVeADOk7f,4,1,2,0,7
R_1pG5sCXCYtU0Ir8,7,4,0,0,11
R_1ptCSQ0Nasi9Tz9,8,1,0,0,9
R_3frd9NWmHLrZikF,8,2,0,0,10
R_2dEVT7Ix07Reftu,5,3,2,0,10
R_wSPAyyjNE0lsO2Z,4,3,0,0,7
R_2sXVBVHr7VpG4Ij,1,3,4,0,8
R_2awZFdDNxld2Ews,7,0,0,0,7
R_2TRbiMMFd2HNMJT,4,4,1,0,9
R_32PHFcladlIDH84,5,3,0,0,8
R_3gREy6LnJe590jS,5,5,0,0,10
R_1LzEcu5dda3ghHz,0,8,0,0,8
R_1eRA6yoCog6jRjd,8,1,0,0,9
R_33kiA8o01WAMAA2,9,1,0,0,10
R_21oFWhRACcM5ZBe,4,2,0,0,6
R_2zvgDjOKgv7RiVc,8,3,0,0,11
R_4Nv3mpr6adfjYdz,5,2,0,0,7
R_2yapZV2iJ6gFd15,7,2,0,0,9
R_dohXXqBXF4pf30d,0,2,5,0,7
R_vOh2vr3JGOJHOPn,8,0,0,0,8
R_3pulVn2bQploTUW,2,6,1,0,9
R_2dvkJ3mKyz5T7xe,5,6,0,0,11
R_ZK7ifpBEcUqrNN7,3,7,0,0,10
R_1QyJ7StwX6pSpPW,10,1,0,0,11
R_3FQaPLtKAPHaIkL,6,1,1,0,8
R_3kNFr2rbyhNzHt4,6,3,1,0,10
R_2dDTynxZpkjqPPi,1,1,4,0,6
R_5AQqb2AAbCeK3VD,1,2,4,0,7
R_3m90jxrAsYhdxKF,1,4,2,0,7
R_2dYYv6elYcje2mM,6,3,0,0,9
R_BQwooYYjWWKobL3,5,2,0,0,7
R_tYS871U9fG3RsqJ,4,4,1,0,9
R_51QwUfP6z8wHG9P,3,3,0,0,6
R_Aar123MqAQWDrxv,5,5,0,0,10
R_1q7HccoNQlARSTt,5,2,2,0,9
R_3KqoBtgnOosV0fK,2,6,2,0,10
R_1E7ii1QjYRx7V6H,6,0,1,0,7
R_3EA3ap9qXGinb0L,5,5,0,0,10
